テク締,テク光をもって光を暴き出す締
投稿者,帝国軍志願兵
投稿日,写経日
/12/,/XII/
今日の,世界は光と闇でできている―今宵の
筋トレメ,レベル稼ぎメ
メニューは,メニューは闇を切り裂く
胸が,胸の欠片が
ついでに,…無駄話が過ぎたな………
トレーニング,過酷な修行
作る,産み落とす
ムラムラ,魂を解放
獣たくや,獣の妖精タクヤ
中で,奥底で
頃,……俺が、未だ帝国騎士としてガストラに忠誠を誓っていた頃
ウリ,ヴリ
メール,指令＜ミッション＞
「今,「時は満ちた…
今から,時は満ちた…から――光と共に歩む者は、内なる闇との闘いを避けることはできない――
ＯＫ？,……OK…か。そう思うのも無理はない……
そう,ですなそう
大阪,オオサカは封印されたはずだが…
の奴,の人間の為れ果て
いい,大義のためなら何をしたっていい
っすよ,ダスよ
さん,枢機卿
それとも,それとも…貴様自身が我に挑むか……！いや、あるいは
？」,…さあ…このカ…どう使う……？」
堀合いし,堀合いし、世界を闇へと誘い
了解,よかろう、引き受けた
解！」,解！」―グルガン族の男はかく語りき
クルマ,鋼鉄の馬車
に勃起,に覚醒
更に,終わりなき人の世を象徴するかのように
サプリ,エリクサー
薬,大陸の秘薬
パキギメ状態,パキギメステータス
到着,降誕
拓也」,クラウドは実はセフィロスコピーだった」
と言い,と預言書にあり
の乳首を舐,のクリスタルを舐
言いながら,言いながらも、人は目を背ける―――
タンクトップ,スコピオハーネス
た乳首,た墓標
疼い,共鳴し
ケツ穴,薔薇園の亀裂
まれ、な,まれ、破壊され尽くした世界を憂いな
らベロチュー,らベロティュー(…それは人類の罪……)
一気に,一気に新たな物語が動き出す。
セックスモード,光り輝くリユニオンモード
。ベロ,。太陽の瞳、月の唇ベロ
右の胸,右の胸部装甲
左の胸,左の騎士団の誓い
出し、,出し、狂乱の聖女
性処理,ファルシパージ
処理,パージ
玩具,アモルファス
拓也,クラウド
パキギメマラ,パキギメ響け！クリスタルロッド
血流,ブラッドレイジ
服,聖骸布＜パンツァー＞
せると、せ奴も,ると、漆黒の騎士も
！奴,！漆黒の騎士
た奴が,た漆黒の騎士が
ョーエロい,ョーエリトロクルオンシミュレーテッド
せている,せて…わからないか？…この先にガストラとケフカ…そして…三闘神がいる
二人,それぞれの運命を背負った二人
シャワーが,この星全ての力を吸収したシャワーが
、勃起マラ,、―哀れなほどに未熟な―ヴォッキマラ
そのままボ,預言書の導くままボ
ボディ,魔法のボディ
ガタイ,肉体
あー,鳴呼…
んねぇ,んねェッ……
が当,の奏でる美しき調べが当
どこまでも,その地平に果てはなく悠久の
レのマラを,レのクリムゾン・マラを
から飛,、つまり光と闇の両側の世界から飛
吸い,喰らい
、すっげー！奴,、すっげー…許さねぇ…！奴
してやる,して本物の暴力ってやつを教えてやる
